Distance_m,Obstacle_Count,Obstacle_Type,Noise_Power_dBm,Received_SNR_dB,Total_Path_Loss_dB,BER,Is_Outage
196.46,0,None,-75.92,10.0,85.92,0.0,False
25.22,2,Concrete,-97.13,29.04,88.09,0.0,False
15.09,0,None,-96.69,53.06,63.63,0.0,False
157.1,2,Concrete,-97.05,13.07,103.98,0.0,False
197.98,1,Glass,-95.39,27.41,87.99,0.0,False
87.28,3,Glass,-96.24,31.37,84.87,0.0,False
181.2,4,Concrete,-72.8,-32.41,125.22,0.4865,True
80.58,4,Concrete,-86.35,-11.83,118.18,0.3587,True
42.98,3,Glass,-87.61,28.89,78.72,0.0,False
80.06,4,Glass,-91.84,25.72,86.12,0.0,False
131.56,4,Glass,-70.46,0.02,90.44,0.0824,False
121.7,4,Concrete,-65.29,-36.47,121.76,0.4894,True
148.89,4,Glass,-72.03,0.52,91.51,0.0633,False
37.18,3,Concrete,-77.31,-4.15,101.46,0.1841,True
192.99,3,Concrete,-90.26,-5.51,115.76,0.2308,True
176.84,0,None,-61.67,-3.34,85.01,0.1646,True
129.54,2,Concrete,-60.59,-21.72,102.3,0.4521,True
152.84,0,None,-70.28,6.54,83.74,0.0017,False
23.82,1,Glass,-73.85,24.25,69.59,0.0,False
192.55,4,Glass,-76.63,2.89,93.74,0.0248,False
47.11,1,Glass,-89.32,33.81,75.52,0.0,False
157.88,1,Concrete,-65.62,-8.4,94.02,0.2998,True
133.96,1,Concrete,-78.38,5.78,92.59,0.0022,False
158.14,3,Concrete,-76.07,-17.96,114.03,0.4325,True
110.59,0,None,-96.87,35.94,80.93,0.0,False
11.45,3,Glass,-90.34,43.11,67.23,0.0,False
123.34,2,Concrete,-72.07,-9.81,101.88,0.3219,True
151.75,4,Glass,-62.85,-8.83,91.68,0.3046,True
180.93,0,None,-92.56,27.36,85.2,0.0,False
141.6,1,Glass,-81.91,16.83,85.08,0.0,False
99.89,0,None,-78.47,18.43,80.04,0.0,False
69.55,3,Glass,-61.47,-1.43,82.9,0.12,True
41.61,1,Concrete,-62.98,0.54,82.44,0.0678,False
43.03,3,Glass,-94.8,36.07,78.73,0.0,False
67.93,0,None,-64.02,7.32,76.7,0.0004,False
197.32,2,Glass,-68.8,-1.15,89.96,0.108,True
127.83,3,Glass,-91.03,22.84,88.19,0.0,False
133.18,1,Concrete,-69.11,-3.43,92.54,0.166,True
81.64,2,Concrete,-77.95,-0.34,98.29,0.0851,False
130.99,2,Glass,-87.51,21.11,86.4,0.0,False
182.84,4,Glass,-71.65,-1.65,93.3,0.1217,True
198.62,3,Concrete,-93.12,-2.89,116.01,0.1573,True
16.01,0,None,-84.38,40.24,64.14,0.0,False
44.15,0,None,-63.48,10.53,72.95,0.0,False
17.01,1,Glass,-99.82,53.16,66.67,0.0,False
81.43,3,Glass,-80.28,16.01,84.27,0.0,False
137.21,4,Glass,-91.04,20.24,90.8,0.0,False
40.42,1,Concrete,-77.61,15.42,82.19,0.0,False
118.16,4,Concrete,-91.23,-10.28,121.5,0.3266,True
183.75,3,Glass,-76.49,5.15,91.34,0.0052,False
188.41,2,Glass,-90.26,20.7,89.56,0.0,False
42.52,3,Concrete,-90.99,8.37,102.63,0.0001,False
119.78,4,Concrete,-68.91,-32.72,121.62,0.4865,True
76.91,3,Concrete,-73.34,-14.44,107.77,0.396,True
111.01,2,Glass,-84.13,19.17,84.96,0.0,False
72.99,3,Concrete,-76.21,-11.11,107.32,0.3434,True
73.36,3,Concrete,-76.85,-10.51,107.36,0.3343,True
104.16,4,Glass,-96.35,27.95,88.41,0.0,False
141.23,0,None,-70.3,7.24,83.05,0.0009,False
171.03,1,Glass,-71.56,4.84,86.72,0.0055,False
64.9,1,Glass,-81.73,23.44,78.3,0.0,False
58.21,2,Glass,-66.65,7.3,79.35,0.0007,False
194.67,0,None,-92.76,26.92,85.84,0.0,False
193.67,4,Concrete,-79.16,-26.64,125.8,0.4702,True
123.8,4,Glass,-61.74,-8.17,89.91,0.2928,True
47.51,4,Glass,-87.93,26.34,81.59,0.0,False
111.15,3,Concrete,-79.17,-11.8,110.97,0.36,True
44.07,3,Concrete,-77.93,-5.0,102.94,0.2164,True
62.0,2,Glass,-82.9,23.0,79.9,0.0,False
154.14,3,Concrete,-73.92,-19.89,113.81,0.4425,True
21.36,4,Glass,-69.55,14.91,74.65,0.0,False
25.09,3,Glass,-69.76,15.71,74.05,0.0,False
73.04,2,Concrete,-71.11,-6.22,97.33,0.2412,True
79.31,1,Glass,-63.75,3.71,80.04,0.0162,False
44.47,3,Glass,-92.92,33.91,79.02,0.0,False
167.83,2,Glass,-97.97,29.42,88.55,0.0,False
127.75,4,Concrete,-86.96,-15.22,122.18,0.4044,True
181.15,3,Concrete,-97.56,2.35,115.22,0.0336,False
100.94,2,Glass,-80.79,16.66,84.14,0.0,False
32.81,1,Concrete,-96.56,36.19,80.37,0.0,False
73.3,1,Concrete,-60.75,-6.61,87.36,0.2606,True
99.41,4,Glass,-70.08,2.07,88.0,0.0363,False
160.07,0,None,-64.37,0.23,84.14,0.0788,False
114.9,0,None,-89.4,28.14,81.26,0.0,False
59.36,0,None,-93.91,38.39,75.52,0.0,False
51.1,1,Concrete,-72.86,8.63,84.22,0.0,False
23.12,3,Glass,-89.74,36.4,73.34,0.0,False
170.09,1,Concrete,-77.44,2.77,94.67,0.0278,False
58.68,1,Concrete,-72.75,7.32,85.42,0.0002,False
84.34,1,Concrete,-79.07,10.49,88.58,0.0,False
128.63,2,Concrete,-96.94,14.7,102.24,0.0,False
106.23,3,Concrete,-79.96,-10.62,110.58,0.3415,True
135.45,0,None,-71.34,8.65,82.69,0.0,False
36.25,1,Concrete,-80.35,19.11,81.24,0.0,False
86.28,1,Glass,-72.34,11.57,80.77,0.0,False
14.18,1,Glass,-74.38,29.29,65.09,0.0,False
197.03,0,None,-66.75,0.8,85.95,0.0612,False
70.63,0,None,-99.13,42.1,77.03,0.0,False
122.53,4,Glass,-81.81,11.99,89.82,0.0,False
198.72,4,Concrete,-99.73,-6.29,126.02,0.2552,True
53.64,1,Concrete,-80.5,15.85,84.64,0.0,False
158.55,3,Glass,-99.68,29.63,90.06,0.0,False
89.48,4,Concrete,-92.44,-6.65,119.09,0.2547,True
99.04,1,Concrete,-99.73,29.76,89.97,0.0,False
89.39,4,Glass,-75.02,7.94,87.08,0.0004,False
44.28,0,None,-60.02,7.04,72.98,0.0009,False
26.59,2,Glass,-89.69,37.14,72.55,0.0,False
11.3,4,Concrete,-76.49,-4.63,101.12,0.2049,True
35.7,0,None,-65.32,14.22,71.11,0.0,False
42.57,0,None,-96.75,44.11,72.64,0.0,False
165.69,4,Glass,-60.87,-11.57,92.44,0.35,True
46.88,0,None,-79.57,26.1,73.47,0.0,False
192.08,4,Concrete,-83.7,-22.02,125.72,0.4556,True
132.45,4,Concrete,-73.58,-28.91,122.5,0.4839,True
99.4,0,None,-69.74,9.73,80.0,0.0,False
28.97,0,None,-73.99,24.69,69.29,0.0,False
193.16,1,Glass,-71.5,3.73,87.77,0.015,False
51.64,0,None,-68.05,13.74,74.31,0.0,False
101.95,2,Glass,-70.23,6.01,84.22,0.003,False
90.48,2,Glass,-75.18,12.0,83.19,0.0,False
153.1,1,Glass,-75.78,10.02,85.75,0.0,False
38.95,4,Glass,-73.97,14.11,79.86,0.0,False
77.46,4,Concrete,-94.81,-3.03,117.84,0.1525,True
48.47,1,Glass,-89.23,33.46,75.76,0.0,False
99.69,0,None,-66.43,6.4,80.03,0.0017,False
45.96,1,Glass,-73.43,18.12,75.3,0.0,False
20.84,2,Concrete,-67.2,0.77,86.43,0.0602,False
38.43,2,Concrete,-67.87,-3.87,91.75,0.1786,True
198.67,4,Concrete,-67.69,-38.32,126.02,0.4927,True
185.4,3,Concrete,-97.25,1.84,115.42,0.0386,False
83.85,1,Glass,-80.3,19.78,80.52,0.0,False
22.56,4,Glass,-69.53,14.41,75.12,0.0,False
56.13,1,Glass,-68.67,11.63,77.04,0.0,False
36.58,1,Concrete,-69.45,8.13,81.32,0.0002,False
167.87,1,Glass,-61.84,-4.71,86.55,0.2057,True
98.13,4,Glass,-69.55,1.66,87.89,0.0438,False
97.82,4,Concrete,-78.0,-21.86,119.86,0.4567,True
57.61,0,None,-92.45,37.19,75.26,0.0,False
99.18,0,None,-75.96,15.97,79.98,0.0,False
194.27,3,Concrete,-75.93,-19.89,115.82,0.4346,True
63.11,4,Glass,-60.72,-3.33,84.06,0.1726,True
83.34,1,Concrete,-74.34,5.86,88.47,0.0023,False
53.61,3,Concrete,-74.2,-10.44,104.64,0.3395,True
19.93,2,Glass,-63.48,13.44,70.04,0.0,False
142.63,3,Glass,-76.65,7.51,89.14,0.0002,False
157.53,3,Glass,-77.59,7.59,90.0,0.0004,False
161.52,0,None,-99.67,35.45,84.22,0.0,False
71.95,4,Concrete,-64.41,-32.79,117.2,0.4872,True
36.54,1,Glass,-69.8,16.49,73.31,0.0,False
78.75,0,None,-98.4,40.43,77.98,0.0,False
58.32,2,Glass,-82.25,22.88,79.37,0.0,False
57.31,0,None,-95.72,40.5,75.22,0.0,False
155.74,0,None,-97.32,33.41,83.9,0.0,False
154.96,4,Concrete,-60.77,-43.08,123.86,0.4917,True
171.31,3,Glass,-72.67,1.94,90.73,0.042,False
69.42,3,Glass,-92.46,29.58,82.88,0.0,False
143.11,1,Concrete,-71.24,-1.93,93.17,0.1362,True
15.7,2,Concrete,-88.53,24.56,83.97,0.0,False
24.9,0,None,-98.24,50.26,67.98,0.0,False
166.66,3,Concrete,-68.96,-25.53,114.49,0.4732,True
22.6,1,Glass,-81.36,32.23,69.14,0.0,False
76.06,1,Glass,-96.4,36.73,79.68,0.0,False
162.88,2,Concrete,-81.8,-2.49,104.29,0.1404,True
93.21,4,Concrete,-73.64,-25.8,119.44,0.4705,True
84.05,3,Concrete,-72.46,-16.08,108.55,0.4086,True
43.67,3,Glass,-87.27,28.41,78.86,0.0,False
158.05,4,Concrete,-91.84,-12.19,124.03,0.3587,True
50.91,2,Glass,-93.15,34.96,78.19,0.0,False
12.75,0,None,-73.57,31.41,62.16,0.0,False
152.76,3,Glass,-99.44,29.71,89.73,0.0,False
118.16,2,Concrete,-87.42,5.92,101.5,0.0022,False
75.77,1,Glass,-69.24,9.59,79.64,0.0,False
50.15,2,Concrete,-99.42,25.36,94.06,0.0,False
78.06,4,Concrete,-87.85,-10.05,117.9,0.3306,True
117.7,0,None,-95.34,33.88,81.47,0.0,False
168.19,4,Glass,-85.01,12.44,92.57,0.0,False
193.32,0,None,-61.94,-3.84,85.78,0.1795,True
106.15,4,Glass,-76.61,8.04,88.57,0.0003,False
52.85,3,Concrete,-67.88,-16.63,104.52,0.4166,True
87.8,1,Concrete,-93.9,24.98,88.92,0.0,False
112.71,0,None,-67.73,6.63,81.09,0.0012,False
65.31,3,Concrete,-86.24,-0.11,106.35,0.084,False
175.98,2,Glass,-78.28,9.32,88.96,0.0,False
48.05,3,Concrete,-86.75,3.06,103.69,0.0216,False
177.89,3,Concrete,-79.12,-15.94,115.06,0.4136,True
158.88,3,Concrete,-66.08,-28.0,114.08,0.4785,True
101.77,1,Concrete,-99.37,29.17,90.21,0.0,False
90.29,3,Concrete,-94.07,4.91,109.17,0.0048,False
36.29,1,Concrete,-82.35,21.1,81.25,0.0,False
167.26,2,Glass,-60.24,-8.28,88.52,0.2904,True
60.52,3,Glass,-82.09,20.4,81.69,0.0,False
59.67,3,Concrete,-67.24,-18.33,105.57,0.4283,True
160.17,3,Concrete,-90.11,-4.04,114.15,0.1912,True
52.82,1,Glass,-67.87,11.36,76.51,0.0,False
108.71,1,Glass,-69.82,7.04,82.78,0.0008,False
114.28,1,Concrete,-79.81,8.59,91.21,0.0,False
131.9,2,Glass,-90.72,24.26,86.46,0.0,False
37.28,0,None,-69.88,18.4,71.48,0.0,False
31.67,0,None,-60.95,10.88,70.07,0.0,False
77.28,3,Concrete,-66.03,-21.79,107.82,0.4578,True
179.25,4,Glass,-85.1,11.97,93.12,0.0,False
95.29,2,Concrete,-98.66,19.03,99.64,0.0,False
180.29,2,Concrete,-83.68,-1.5,105.17,0.1118,True
44.21,4,Concrete,-65.6,-27.36,112.97,0.4805,True
94.82,2,Concrete,-83.34,3.74,99.59,0.0151,False
121.4,1,Glass,-97.34,33.6,83.74,0.0,False
99.38,3,Glass,-93.86,27.86,86.0,0.0,False
94.99,3,Glass,-88.99,23.39,85.61,0.0,False
110.88,2,Concrete,-75.56,-5.39,100.95,0.2302,True
44.62,1,Concrete,-89.22,26.17,83.05,0.0,False
160.43,4,Glass,-70.01,-2.15,92.16,0.1292,True
89.47,4,Glass,-66.39,-0.7,87.09,0.0967,False
170.53,1,Concrete,-81.44,6.75,94.69,0.0011,False
115.85,1,Concrete,-72.36,1.03,91.33,0.0555,False
11.78,3,Glass,-74.41,26.93,67.47,0.0,False
125.84,0,None,-79.03,16.98,82.05,0.0,False
18.21,4,Concrete,-87.56,2.29,105.26,0.0355,False
82.58,4,Concrete,-96.44,-1.95,118.39,0.1251,True
30.3,4,Concrete,-90.82,1.14,109.68,0.0523,False
31.47,0,None,-68.02,18.0,70.01,0.0,False
107.96,1,Concrete,-65.71,-5.01,90.72,0.2133,True
54.53,0,None,-92.51,37.72,74.79,0.0,False
165.5,1,Concrete,-61.38,-13.05,94.43,0.3747,True
144.62,1,Glass,-97.12,31.86,85.26,0.0,False
77.96,3,Glass,-98.74,34.85,83.89,0.0,False
127.34,3,Glass,-71.79,3.64,88.15,0.016,False
133.57,2,Concrete,-64.28,-18.29,102.57,0.4331,True
38.61,4,Glass,-92.0,32.21,79.79,0.0,False
151.84,2,Glass,-94.99,27.31,87.68,0.0,False
118.26,1,Glass,-85.48,21.97,83.51,0.0,False
183.53,0,None,-63.64,-1.69,85.33,0.1231,True
115.93,2,Glass,-94.16,28.82,85.34,0.0,False
182.57,4,Concrete,-73.23,-32.05,125.28,0.4807,True
114.12,2,Glass,-63.6,-1.6,85.2,0.1236,True
197.57,1,Glass,-65.63,-2.34,87.97,0.1337,True
86.27,1,Concrete,-65.27,-3.5,88.77,0.1761,True
28.05,0,None,-62.85,13.83,69.01,0.0,False
34.43,3,Glass,-96.71,39.92,76.79,0.0,False
137.31,4,Concrete,-77.51,-25.3,122.81,0.4699,True
79.87,2,Concrete,-96.5,18.4,98.1,0.0,False
89.34,3,Glass,-73.08,8.01,85.08,0.0002,False
147.93,3,Glass,-63.85,-5.61,89.46,0.229,True
124.24,3,Glass,-87.78,19.84,87.94,0.0,False
34.21,1,Concrete,-60.66,-0.08,80.74,0.0799,False
100.11,2,Concrete,-81.24,1.17,100.06,0.0516,False
26.8,1,Glass,-91.05,40.43,70.62,0.0,False
117.6,0,None,-93.86,32.39,81.46,0.0,False
136.59,0,None,-72.17,9.41,82.76,0.0,False
185.54,2,Concrete,-65.03,-20.4,105.42,0.4432,True
86.01,1,Concrete,-70.36,1.61,88.75,0.0428,False
197.01,3,Concrete,-85.75,-10.19,115.94,0.3283,True
165.35,4,Glass,-64.53,-7.89,92.42,0.2826,True
120.01,4,Concrete,-82.29,-19.35,121.64,0.4386,True
178.64,2,Glass,-61.2,-7.9,89.09,0.2861,True
70.08,3,Glass,-92.02,29.06,82.97,0.0,False
152.91,0,None,-95.57,31.83,83.74,0.0,False
14.68,2,Glass,-79.7,32.31,67.39,0.0,False
155.94,1,Concrete,-77.82,3.91,93.91,0.0125,False
175.34,0,None,-81.87,16.94,84.93,0.0,False
86.46,3,Glass,-77.17,12.38,84.79,0.0,False
49.66,2,Concrete,-63.93,-10.04,93.97,0.336,True
87.33,3,Concrete,-98.15,9.27,108.88,0.0,False
43.08,2,Concrete,-62.63,-10.11,92.74,0.3415,True
176.61,2,Concrete,-98.4,13.41,104.99,0.0,False
74.97,0,None,-82.39,24.83,77.55,0.0,False
188.65,3,Concrete,-77.35,-18.22,115.57,0.4329,True
197.11,4,Glass,-67.59,-6.36,93.95,0.2427,True
49.56,0,None,-73.54,19.59,73.96,0.0,False
31.19,0,None,-70.66,20.73,69.93,0.0,False
188.02,4,Concrete,-83.56,-21.98,125.54,0.4549,True
85.31,3,Concrete,-93.54,4.87,108.67,0.0076,False
32.47,3,Concrete,-90.77,10.49,100.28,0.0,False
22.22,3,Concrete,-72.4,-4.59,96.99,0.1988,True
14.82,2,Concrete,-80.85,17.38,83.47,0.0,False
137.17,2,Glass,-97.56,30.76,86.8,0.0,False
158.23,4,Glass,-89.22,17.18,92.04,0.0,False
185.8,3,Concrete,-78.11,-17.32,115.44,0.4324,True
149.88,3,Concrete,-66.48,-27.09,113.57,0.4733,True
122.49,2,Glass,-82.14,16.32,85.82,0.0,False
153.21,0,None,-89.57,25.81,83.76,0.0,False
122.94,1,Glass,-69.34,5.49,83.85,0.0045,False
51.6,4,Glass,-94.74,32.43,82.31,0.0,False
38.06,1,Glass,-79.4,25.74,73.66,0.0,False
118.26,1,Glass,-96.23,32.72,83.51,0.0,False
104.57,4,Concrete,-86.07,-14.38,120.44,0.3976,True
167.5,3,Glass,-86.03,15.5,90.53,0.0,False
15.96,0,None,-99.75,55.63,64.11,0.0,False
100.83,4,Concrete,-90.06,-10.07,120.13,0.3335,True
92.61,2,Glass,-88.71,25.32,83.39,0.0,False
146.59,0,None,-88.67,25.29,83.38,0.0,False
95.72,1,Glass,-73.2,11.53,81.67,0.0,False
175.61,2,Concrete,-94.36,9.42,104.95,0.0,False
45.84,1,Concrete,-83.0,19.72,83.28,0.0,False
199.96,1,Glass,-63.81,-4.26,88.07,0.1896,True
182.18,3,Concrete,-93.11,-2.16,115.26,0.1363,True
132.39,3,Glass,-86.32,17.83,88.49,0.0,False
23.83,0,None,-94.08,46.48,67.6,0.0,False
78.52,2,Glass,-75.4,13.45,81.95,0.0,False
124.04,2,Glass,-88.28,22.36,85.93,0.0,False
113.99,1,Concrete,-64.03,-7.16,91.19,0.2691,True
100.45,4,Glass,-77.96,9.86,88.09,0.0,False
69.32,3,Concrete,-86.13,-0.74,106.87,0.0952,False
115.79,4,Glass,-64.95,-4.38,89.33,0.1962,True
137.63,1,Glass,-85.13,20.3,84.83,0.0,False
112.8,0,None,-85.54,24.44,81.1,0.0,False
182.55,2,Concrete,-71.81,-13.48,105.28,0.3863,True
154.97,0,None,-98.05,34.19,83.86,0.0,False
177.95,0,None,-76.46,11.4,85.06,0.0,False
53.07,3,Concrete,-82.75,-1.8,104.55,0.1289,True
171.06,3,Concrete,-63.1,-31.62,114.72,0.4925,True
173.94,4,Glass,-98.0,25.14,92.86,0.0,False
162.05,2,Glass,-89.95,21.71,88.25,0.0,False
71.74,3,Glass,-84.85,21.68,83.17,0.0,False
18.82,1,Glass,-82.89,35.35,67.55,0.0,False
125.79,2,Concrete,-73.91,-8.14,102.05,0.2825,True
141.93,2,Concrete,-60.07,-23.02,103.1,0.4654,True
181.86,2,Concrete,-61.04,-24.21,105.25,0.4685,True
77.37,3,Concrete,-69.56,-18.26,107.83,0.4203,True
44.86,0,None,-75.13,22.04,73.09,0.0,False
66.15,1,Glass,-67.66,9.2,78.47,0.0,False
95.11,2,Glass,-79.72,16.1,83.62,0.0,False
31.84,0,None,-98.25,48.14,70.11,0.0,False
99.02,3,Glass,-92.89,26.92,85.97,0.0,False
46.3,3,Concrete,-85.88,2.51,103.37,0.0291,False
159.39,2,Glass,-63.42,-4.69,88.1,0.2033,True
21.32,3,Concrete,-99.3,22.67,96.63,0.0,False
87.27,0,None,-99.59,40.72,78.87,0.0,False
51.97,0,None,-91.07,36.7,74.37,0.0,False
130.72,1,Glass,-80.45,16.07,84.38,0.0,False
31.32,1,Glass,-84.84,32.87,71.97,0.0,False
179.63,4,Glass,-95.3,22.16,93.14,0.0,False
114.72,1,Glass,-65.28,2.04,83.25,0.0354,False
190.95,3,Concrete,-94.79,-0.88,115.67,0.0997,False
146.95,1,Concrete,-96.83,23.43,93.4,0.0,False
51.13,3,Glass,-89.49,29.27,80.23,0.0,False
182.03,3,Glass,-64.93,-6.33,91.26,0.2441,True
133.64,4,Glass,-96.54,25.96,90.57,0.0,False
28.12,0,None,-65.94,16.91,69.03,0.0,False
106.42,0,None,-75.6,15.0,80.59,0.0,False
146.91,3,Concrete,-87.86,-5.54,113.4,0.2255,True
70.11,2,Glass,-74.86,13.89,80.97,0.0,False
183.61,1,Glass,-95.12,27.79,87.33,0.0,False
128.27,0,None,-71.58,9.36,82.22,0.0,False
132.56,3,Concrete,-82.45,-10.06,112.5,0.3172,True
14.64,0,None,-69.46,26.09,63.36,0.0,False
66.52,3,Concrete,-66.73,-19.78,106.51,0.4406,True
140.81,4,Concrete,-86.22,-16.8,123.03,0.422,True
55.04,1,Concrete,-75.32,10.45,84.87,0.0,False
55.75,2,Concrete,-62.76,-12.22,94.98,0.3613,True
169.9,0,None,-86.48,21.82,84.66,0.0,False
22.28,2,Glass,-60.5,9.49,71.01,0.0,False
154.21,4,Concrete,-72.66,-31.15,123.82,0.4803,True
167.45,2,Concrete,-84.56,0.03,104.53,0.0753,False
121.46,0,None,-80.61,18.87,81.74,0.0,False
122.31,4,Concrete,-70.58,-31.22,121.8,0.488,True
19.22,4,Concrete,-95.72,9.99,105.73,0.0,False
190.8,1,Concrete,-60.76,-14.91,95.67,0.4011,True
166.9,0,None,-80.32,15.82,84.5,0.0,False
192.63,3,Glass,-86.29,14.54,91.75,0.0,False
134.94,2,Concrete,-70.3,-12.35,102.66,0.3584,True
139.68,0,None,-66.0,3.04,82.96,0.0215,False
38.29,3,Concrete,-66.48,-15.23,101.72,0.402,True
178.03,1,Glass,-88.73,21.66,87.06,0.0,False
142.63,3,Concrete,-91.44,-1.7,113.14,0.1122,True
193.47,4,Concrete,-68.05,-37.74,125.79,0.4891,True
163.46,4,Glass,-85.33,13.01,92.32,0.0,False
57.8,2,Glass,-90.55,31.25,79.29,0.0,False
82.83,0,None,-66.44,8.02,78.42,0.0002,False
175.53,3,Glass,-60.21,-10.73,90.94,0.34,True
82.15,3,Glass,-90.73,26.38,84.35,0.0,False
176.5,4,Glass,-81.46,8.47,92.99,0.0,False
139.42,0,None,-60.35,-2.59,82.94,0.1503,True
149.63,1,Glass,-73.43,7.88,85.55,0.0003,False
135.91,0,None,-74.66,11.94,82.72,0.0,False
156.75,2,Concrete,-65.55,-18.4,103.96,0.4374,True
100.84,4,Glass,-92.86,24.73,88.13,0.0,False
171.19,2,Concrete,-88.66,3.93,104.72,0.0138,False
182.5,1,Concrete,-63.74,-11.54,95.28,0.3494,True
49.15,2,Concrete,-87.03,13.15,93.88,0.0,False
34.67,3,Concrete,-68.53,-12.32,100.85,0.3716,True
70.52,1,Concrete,-73.99,6.97,87.02,0.0011,False
154.1,3,Glass,-72.17,2.36,89.81,0.0309,False
64.08,1,Glass,-83.92,25.74,78.19,0.0,False
188.93,0,None,-67.63,2.05,85.58,0.0357,False
115.5,1,Concrete,-76.56,5.26,91.31,0.0038,False
66.78,0,None,-75.71,19.17,76.55,0.0,False
172.65,1,Concrete,-80.53,5.73,94.8,0.003,False
188.76,0,None,-67.41,1.84,85.57,0.0401,False
59.81,3,Concrete,-94.48,8.89,105.59,0.0001,False
13.51,0,None,-78.98,36.31,62.67,0.0,False
91.11,0,None,-95.98,36.73,79.25,0.0,False
47.14,3,Concrete,-70.66,-12.86,103.52,0.3807,True
198.49,4,Glass,-66.28,-7.73,94.01,0.2811,True
150.67,1,Glass,-64.57,-1.04,85.61,0.108,True
22.04,4,Glass,-77.16,22.24,74.92,0.0,False
11.04,1,Glass,-80.67,37.75,62.92,0.0,False
164.15,3,Glass,-68.87,-1.49,90.36,0.1161,True
20.37,1,Concrete,-86.57,30.34,76.24,0.0,False
111.36,3,Concrete,-76.59,-14.39,110.99,0.3886,True
125.49,4,Glass,-88.29,18.26,90.03,0.0,False
105.37,3,Glass,-84.84,18.33,86.51,0.0,False
142.85,0,None,-89.09,25.93,83.15,0.0,False
42.77,1,Glass,-64.41,9.73,74.68,0.0,False
68.44,2,Concrete,-71.26,-5.5,96.76,0.2352,True
172.17,0,None,-72.38,7.61,84.77,0.0003,False
55.42,2,Concrete,-61.75,-13.18,94.93,0.3833,True
74.73,2,Glass,-87.8,26.27,81.52,0.0,False
140.94,0,None,-71.78,8.74,83.03,0.0,False
154.93,1,Concrete,-91.35,17.49,93.86,0.0,False
136.91,0,None,-79.06,16.28,82.78,0.0,False
73.43,3,Glass,-98.55,35.18,83.37,0.0,False
120.83,3,Concrete,-92.51,0.82,111.7,0.0635,False
48.14,2,Concrete,-87.58,13.88,93.71,0.0,False
139.28,2,Concrete,-68.76,-14.17,102.93,0.3935,True
147.3,4,Glass,-93.09,21.67,91.42,0.0,False
184.87,4,Concrete,-81.83,-23.56,125.39,0.4579,True
135.59,2,Glass,-67.92,1.22,86.7,0.0507,False
179.37,3,Concrete,-62.42,-32.71,115.13,0.4874,True
52.57,4,Glass,-64.92,2.45,82.47,0.0292,False
191.09,0,None,-64.42,-1.26,85.68,0.1103,True
110.08,3,Glass,-83.5,16.61,86.89,0.0,False
26.53,3,Glass,-94.5,39.97,74.53,0.0,False
102.51,3,Concrete,-68.21,-22.06,110.27,0.4473,True
142.12,0,None,-78.08,14.97,83.11,0.0,False
69.89,4,Glass,-67.47,2.53,84.94,0.029,False
43.91,1,Glass,-97.65,42.74,74.91,0.0,False
36.74,0,None,-90.67,39.31,71.36,0.0,False
107.17,3,Glass,-63.12,-3.54,86.66,0.1771,True
189.95,3,Glass,-80.01,8.39,91.63,0.0001,False
180.07,4,Concrete,-81.59,-23.57,125.16,0.4682,True
35.88,4,Glass,-64.69,5.54,79.15,0.0036,False
118.83,2,Glass,-81.11,15.56,85.55,0.0,False
171.8,2,Concrete,-81.38,-3.37,104.75,0.175,True
62.73,3,Glass,-91.33,29.33,82.0,0.0,False
95.78,0,None,-68.56,8.88,79.68,0.0,False
143.49,2,Concrete,-65.05,-18.14,103.19,0.4312,True
85.57,2,Concrete,-79.47,0.76,98.7,0.0613,False
114.74,1,Concrete,-68.15,-3.1,91.25,0.16,True
153.23,1,Concrete,-72.38,-1.38,93.76,0.112,True
182.15,1,Concrete,-63.53,-11.73,95.26,0.3589,True
47.04,4,Concrete,-95.21,1.7,113.5,0.0441,False
160.64,4,Glass,-73.38,1.21,92.17,0.0519,False
55.54,3,Concrete,-68.06,-16.89,104.95,0.4172,True
194.18,4,Glass,-99.87,26.05,93.82,0.0,False
19.42,1,Glass,-84.79,36.98,67.82,0.0,False
21.6,2,Concrete,-66.44,-0.3,86.74,0.083,False
176.35,2,Concrete,-78.84,-6.14,104.98,0.2506,True
86.51,4,Glass,-69.17,2.38,86.8,0.0312,False
94.48,0,None,-72.08,12.52,79.56,0.0,False
57.92,2,Glass,-98.72,39.41,79.31,0.0,False
109.27,1,Glass,-87.51,24.68,82.82,0.0,False
18.19,4,Glass,-70.05,16.8,73.25,0.0,False
104.74,3,Concrete,-74.09,-16.36,110.46,0.4161,True
184.0,3,Glass,-76.28,4.93,91.35,0.007,False
78.63,3,Glass,-86.31,22.34,83.97,0.0,False
46.45,1,Concrete,-84.46,21.07,83.39,0.0,False
18.66,2,Glass,-72.6,23.13,69.47,0.0,False
37.43,3,Glass,-61.09,3.57,77.52,0.0205,False
13.11,3,Glass,-77.59,29.18,68.41,0.0,False
64.84,2,Concrete,-97.18,20.89,96.29,0.0,False
156.73,0,None,-99.39,35.43,83.96,0.0,False
69.44,3,Glass,-67.46,4.57,82.89,0.0091,False
104.7,4,Concrete,-63.92,-36.53,120.45,0.4865,True
133.1,0,None,-97.56,35.02,82.54,0.0,False
105.18,2,Glass,-72.58,8.09,84.49,0.0002,False
169.64,3,Glass,-81.02,10.37,90.65,0.0,False
61.67,4,Glass,-61.07,-2.79,83.86,0.1488,True
